App_ID,Sentence,Predicted Labels,Probabilities
5,- Sync workout and calorie data on Google Fit,['CONTACTS'],"[0.0005404762923717499, 0.9973247051239014, 0.0002055128279607743, 0.00011825430556200445, 0.00018413906218484044, 6.320635293377563e-05, 6.854139792267233e-05, 0.0001304591860389337, 0.00018542684847489, 0.00010319664579583332, 0.00013089018466416746]"
6,- Sync workout and calorie data on Google Fit,['CONTACTS'],"[0.0005404762923717499, 0.9973247051239014, 0.0002055128279607743, 0.00011825430556200445, 0.00018413906218484044, 6.320635293377563e-05, 6.854139792267233e-05, 0.0001304591860389337, 0.00018542684847489, 0.00010319664579583332, 0.00013089018466416746]"
6,- Sync data with Google Fit,['CONTACTS'],"[0.0011589349014684558, 0.9979678988456726, 0.00019189841987099499, 0.00020033353939652443, 0.0001588647864991799, 7.412118429783732e-05, 7.70689730416052e-05, 0.0001563567202538252, 0.00022273256035987288, 0.00014939557877369225, 9.469205542700365e-05]"
6,"More features coming soon, such as sync data with Fitbit, Samsung Health, MyFitnessPal...",['CONTACTS'],"[0.00017578077677171677, 0.9818026423454285, 0.0005254395655356348, 7.01101089362055e-05, 8.737767348065972e-05, 9.155499719781801e-05, 2.6755218641483225e-05, 5.3870091505814344e-05, 5.1123111916240305e-05, 5.415962732513435e-05, 4.665174856199883e-05]"
7,Bar Code & Meal Scan: Log store-bought foods and entire meals using your phone’s camera,['CAMERA'],"[0.003432992147281766, 0.00038070842856541276, 0.0006289269658736885, 0.9993891716003418, 0.001296021044254303, 0.00020300515461713076, 0.00016309617785736918, 0.00015845707093831152, 0.00020072952611371875, 0.0008218567236326635, 0.00043250570888631046]"
7,Add Your Own Foods/Meal Tracker – Save recipes and meals for quick logging,['STORAGE'],"[0.9759591221809387, 0.00018529656517785043, 0.00018419913249090314, 0.00010650196782080457, 6.580600165762007e-05, 8.488880121149123e-05, 9.950631647370756e-05, 6.787243910366669e-05, 5.54339203517884e-05, 0.00018224545056000352, 0.00030300114303827286]"
7,"Connect 50+ Apps & Devices – From fitness tracker and smartwatch apps, including the Health app",['CONTACTS'],"[4.626418012776412e-05, 0.6495411992073059, 0.00041978294029831886, 2.2950847778702155e-05, 2.8391676096362062e-05, 8.867157157510519e-05, 1.1588672350626439e-05, 6.197639595484361e-05, 3.262274549342692e-05, 1.5581861589453183e-05, 5.435718048829585e-05]"
7,"Payment is charged to your credit card through your iTunes account at confirmation of purchase. Subscription renews automatically unless you turn off auto-renewal in iTunes Account Settings after purchase, or cancel your subscription at least 24 hours prior to the end of the subscription period.",['CONTACTS'],"[0.0013053835136815906, 0.9957588315010071, 0.00011364998499630019, 7.92435384937562e-05, 6.501434108940884e-05, 8.896530198398978e-05, 3.7589350540656596e-05, 8.814609464025125e-05, 0.00011450816236902028, 0.00010185210703639314, 0.00013395669520832598]"
8,• Real-time text messaging with friends or workout partners,['SMS'],"[0.0001366252254229039, 0.024957003071904182, 0.0003300029202364385, 7.197548256954178e-05, 0.000177609603269957, 0.9972484707832336, 8.871293539414182e-05, 0.00012213113950565457, 6.353527714964002e-05, 4.764991899719462e-05, 0.0002693250426091254]"
9,- Records training progress automatically,['STORAGE'],"[0.9491741061210632, 0.00018494743562769145, 0.0005781787913292646, 0.0004037649487145245, 0.4712492525577545, 0.00014798020129092038, 0.0004004434740636498, 6.420078716473654e-05, 0.00012401539424899966, 0.0007609925232827663, 0.0001712294906610623]"
